,index,acc,val_acc,loss,val_loss
199,99,0.8209410905838013,0.7919074892997742,0.3762640953063965,0.4607796370983124
200,0,0.8231893181800842,0.6949261426925659,0.37251484394073486,0.608880341053009
201,1,0.8186928033828735,0.8163134455680847,0.3807682991027832,0.465469628572464
202,2,0.8201380968093872,0.752729594707489,0.3738500773906708,0.5234581232070923
203,3,0.8211016654968262,0.7835581302642822,0.3735280930995941,0.45705077052116394
204,4,0.8239923119544983,0.8156711459159851,0.3722018003463745,0.42359745502471924
205,5,0.8217440247535706,0.8175979256629944,0.378088116645813,0.4193345010280609
206,6,0.8169263005256653,0.7623634934425354,0.3747095465660095,0.46438196301460266
207,7,0.819174587726593,0.8175979256629944,0.37232524156570435,0.40648576617240906
208,8,0.818371593952179,0.8503532409667969,0.3797287940979004,0.40362250804901123
209,9,0.8238316774368286,0.8272318840026855,0.3720758855342865,0.43499556183815
210,10,0.8201380968093872,0.7732819318771362,0.37498021125793457,0.45833316445350647
211,11,0.8201380968093872,0.8651252388954163,0.3760523796081543,0.387251615524292
212,12,0.8211016654968262,0.7623634934425354,0.3704206943511963,0.4956456124782562
213,13,0.8212622404098511,0.7405266761779785,0.37650856375694275,0.5355821251869202
214,14,0.8225469589233398,0.8330122232437134,0.373685359954834,0.40410616993904114
215,15,0.8174080848693848,0.7398843765258789,0.37621572613716125,0.5626345276832581
216,16,0.8228681683540344,0.8554913401603699,0.3703458905220032,0.40236032009124756
217,17,0.8246346712112427,0.8201670050621033,0.373514324426651,0.4372766315937042
218,18,0.8196563124656677,0.8484264612197876,0.37156784534454346,0.4025833308696747
219,19,0.8217440247535706,0.7058445811271667,0.3748505711555481,0.5826486349105835
220,20,0.828488826751709,0.7186897993087769,0.3662811517715454,0.5573046803474426
221,21,0.8220651745796204,0.7803468108177185,0.36953645944595337,0.47317609190940857
222,22,0.8196563124656677,0.8105330467224121,0.3703303635120392,0.43344494700431824
223,23,0.8243134617805481,0.712909460067749,0.3686475157737732,0.5576392412185669
224,24,0.8225469589233398,0.752729594707489,0.37000346183776855,0.49071869254112244
225,25,0.8209410905838013,0.8567758798599243,0.3746427595615387,0.40235236287117004
226,26,0.8264011740684509,0.8201670050621033,0.36370739340782166,0.4253312945365906
227,27,0.825437605381012,0.7572254538536072,0.3707500100135803,0.503757119178772
228,28,0.8257588148117065,0.721258819103241,0.36667460203170776,0.561303973197937
229,29,0.8239923119544983,0.7495182752609253,0.3645128011703491,0.5262429714202881
230,30,0.8215834498405457,0.7809891104698181,0.37029609084129333,0.46209555864334106
231,31,0.8239923119544983,0.716120719909668,0.3666417896747589,0.582522451877594
232,32,0.8243134617805481,0.6891458034515381,0.36323514580726624,0.580650269985199
233,33,0.8243134617805481,0.8111753463745117,0.3684951961040497,0.432134211063385
234,34,0.8281676769256592,0.8053950071334839,0.3655673563480377,0.43858131766319275
235,35,0.8212622404098511,0.7719974517822266,0.3676100969314575,0.460155189037323
236,36,0.8288100361824036,0.7842003703117371,0.3681345283985138,0.48202913999557495
237,37,0.828488826751709,0.8214514851570129,0.36743274331092834,0.4261865019798279
238,38,0.8252770304679871,0.7533718943595886,0.36495429277420044,0.49799689650535583
239,39,0.8209410905838013,0.7707129120826721,0.36456751823425293,0.478427529335022
240,40,0.8276858925819397,0.8426461219787598,0.36142003536224365,0.40445202589035034
241,41,0.8283282518386841,0.7989723682403564,0.36346396803855896,0.48383453488349915
